                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2122,                 1.5313,                0.96733,                 1.2338,                0.78179,                0.89848,                0.86655,                0.61016,                0.78186,                0.90111,                0.87055,                0.49051,                 1.0017,                  1.139,                 0.6305,                 1.1763,             0.00046812,             0.00046812,             0.00046812
                      2,                 1.0576,                 1.2052,                0.66321,                 1.1382,                0.89115,                0.89015,                0.93345,                0.66788,                0.89115,                0.89015,                 0.9355,                0.54549,                 1.0044,                 1.2353,                0.58455,                 1.1675,             0.00094134,             0.00094134,             0.00094134
                      3,                0.98335,                 1.1702,                0.69605,                  1.099,                0.87586,                0.88342,                 0.9135,                0.64549,                0.87586,                0.88342,                0.91505,                 0.5577,                 1.0266,                 1.1064,                0.63148,                 1.2067,              0.0014114,              0.0014114,              0.0014114
                      4,                0.98984,                  1.125,                0.68462,                 1.1031,                0.87151,                0.90117,                0.94398,                0.68807,                0.86557,                0.89642,                0.93882,                0.57749,                0.98333,                 1.0979,                  0.581,                 1.1773,              0.0014149,              0.0014149,              0.0014149
                      5,                0.94595,                 1.1153,                0.66716,                  1.087,                0.83202,                0.84034,                0.89432,                0.59993,                0.83202,                0.84034,                0.89402,                0.51102,                 1.0311,                 1.1948,                 0.7002,                 1.1665,              0.0014149,              0.0014149,              0.0014149
                      6,                0.94725,                 1.1376,                0.67211,                 1.0894,                0.83402,                0.94509,                0.93754,                 0.6944,                0.83402,                0.94509,                0.93702,                0.54295,                0.95833,                 1.1506,                0.61471,                 1.1667,              0.0014101,              0.0014101,              0.0014101
                      7,                0.92479,                 1.0296,                0.61453,                 1.0657,                0.88696,                 0.8545,                 0.9166,                0.66145,                0.88969,                0.85699,                0.91955,                0.52832,                 0.9324,                 1.0774,                0.57881,                 1.1386,              0.0014054,              0.0014054,              0.0014054
                      8,                0.87287,                 1.0472,                0.59712,                 1.0567,                0.90787,                 0.9299,                0.95472,                0.68934,                0.90787,                 0.9299,                 0.9513,                0.60306,                0.90615,                  1.083,                0.59694,                   1.13,              0.0014007,              0.0014007,              0.0014007
                      9,                0.86185,                 1.0374,                 0.5795,                 1.0385,                0.82791,                0.92185,                0.93798,                0.67329,                0.81823,                0.91747,                0.93234,                0.52093,                0.97813,                 1.1211,                0.58394,                 1.1709,               0.001396,               0.001396,               0.001396
                     10,                0.84478,                0.98601,                0.55342,                 1.0266,                0.94024,                0.87041,                 0.9488,                0.70688,                0.94434,                0.86705,                0.94576,                0.57149,                0.87888,                   1.05,                0.52523,                 1.1014,              0.0013913,              0.0013913,              0.0013913
                     11,                0.81921,                0.99078,                0.51309,                 1.0148,                0.87609,                0.90901,                0.94012,                0.69687,                0.87609,                0.90901,                0.93895,                0.56573,                0.93448,                 1.0163,                0.53486,                 1.1511,              0.0013866,              0.0013866,              0.0013866
                     12,                0.81602,                0.95542,                0.51139,                 1.0086,                0.83675,                0.93024,                0.94983,                0.73201,                0.83675,                0.93024,                 0.9495,                0.60001,                 0.8732,                 1.1012,                 0.5436,                 1.0883,              0.0013818,              0.0013818,              0.0013818
                     13,                0.81804,                0.98287,                0.51649,                 1.0097,                0.92887,                0.89926,                0.95799,                0.71433,                0.92887,                0.89926,                0.95726,                 0.5789,                0.88388,                 1.0717,                0.47137,                 1.1071,              0.0013771,              0.0013771,              0.0013771
                     14,                0.78453,                0.97977,                0.50075,                0.99501,                 0.9211,                0.90658,                0.94842,                0.70971,                 0.9211,                0.90658,                0.94603,                0.60329,                0.89516,                 1.0411,                0.51034,                 1.1343,              0.0013724,              0.0013724,              0.0013724
                     15,                0.74681,                0.94058,                0.48529,                0.98023,                0.96629,                 0.8717,                0.94921,                0.70523,                0.96629,                 0.8717,                0.94921,                0.58143,                 0.8778,                  1.106,                0.49712,                 1.0972,              0.0013677,              0.0013677,              0.0013677
                     16,                0.76934,                0.95439,                0.49463,                0.98745,                0.97294,                0.87789,                0.95542,                0.71328,                0.97294,                0.87789,                0.95461,                  0.615,                0.87305,                 1.0449,                0.52152,                 1.1029,               0.001363,               0.001363,               0.001363
                     17,                0.73966,                0.88179,                0.46671,                0.97775,                0.90033,                 0.9104,                0.94415,                0.73097,                0.90291,                0.91288,                0.94627,                0.62141,                0.87135,                 1.0387,                 0.4889,                 1.0934,              0.0013583,              0.0013583,              0.0013583
                     18,                0.74773,                0.91965,                0.46464,                0.98087,                0.90383,                0.91728,                0.94626,                0.73785,                0.90383,                0.91728,                0.94602,                0.61451,                 0.8613,                 1.0721,                 0.5174,                 1.0938,              0.0013535,              0.0013535,              0.0013535
                     19,                0.74518,                0.90444,                0.46538,                0.97645,                0.92649,                0.90484,                 0.9553,                0.72951,                0.92649,                0.90484,                 0.9557,                0.62845,                0.83538,                 1.0542,                0.46621,                 1.0812,              0.0013488,              0.0013488,              0.0013488
                     20,                0.71976,                0.86163,                0.44697,                0.96504,                0.90557,                0.90624,                0.94503,                0.74366,                0.90802,                0.90873,                0.94833,                0.64389,                0.83264,                 1.0215,                 0.4572,                 1.0651,              0.0013441,              0.0013441,              0.0013441
                     21,                0.72329,                 0.8808,                0.45523,                0.97655,                0.89728,                0.88666,                0.94977,                0.73281,                0.89452,                0.88417,                0.94485,                0.58705,                0.84948,                 1.0621,                0.56569,                 1.0798,              0.0013394,              0.0013394,              0.0013394
                     22,                0.69307,                0.84343,                0.44814,                0.96524,                0.93534,                 0.8683,                0.94462,                0.72383,                0.93534,                 0.8683,                0.94542,                0.59505,                0.84322,                 1.0669,                0.48519,                 1.0787,              0.0013347,              0.0013347,              0.0013347
                     23,                0.69791,                0.85817,                0.44171,                0.95831,                0.93041,                0.89653,                0.93676,                0.72876,                0.93466,                0.89826,                0.94081,                0.61523,                0.84976,                 1.0183,                0.52652,                 1.0641,                0.00133,                0.00133,                0.00133
                     24,                0.70108,                 0.8642,                0.44695,                 0.9581,                0.94606,                 0.8578,                0.93475,                0.71762,                0.94606,                 0.8578,                0.93475,                0.61492,                0.86254,                 1.0533,                0.51537,                 1.0923,              0.0013253,              0.0013253,              0.0013253
                     25,                0.70016,                0.83455,                0.43319,                0.96009,                0.94444,                0.86334,                0.94719,                0.73877,                0.94444,                0.86334,                0.94452,                0.60893,                0.82091,                 1.0499,                0.45907,                  1.058,              0.0013205,              0.0013205,              0.0013205
                     26,                0.70669,                0.86513,                0.42845,                0.95993,                 0.9012,                0.91253,                 0.9531,                0.72954,                 0.9012,                0.91253,                0.95057,                0.60754,                0.85305,                 1.0122,                0.45686,                 1.0786,              0.0013158,              0.0013158,              0.0013158
                     27,                 0.6696,                0.85572,                0.41268,                 0.9451,                0.93481,                0.90057,                0.95222,                0.74055,                0.93481,                0.90057,                0.95033,                0.62425,                0.84214,                0.98104,                0.45874,                 1.0691,              0.0013111,              0.0013111,              0.0013111
                     28,                0.66915,                0.83196,                0.41472,                0.94628,                0.94148,                0.87439,                 0.9298,                0.71298,                0.94148,                0.87439,                0.92905,                0.61531,                0.85059,                 1.0649,                0.47048,                  1.081,              0.0013064,              0.0013064,              0.0013064
